Sustainable_energy: Page Rank value: 9.922291013586303E-4| Inlink Count:104| Outlink Count: 563
Energy_conservation: Page Rank value: 0.0019755022032566993| Inlink Count:214| Outlink Count: 102
Cogeneration: Page Rank value: 0.0017489986050999882| Inlink Count:173| Outlink Count: 212
Efficient_energy_use: Page Rank value: 0.0029483746488272017| Inlink Count:285| Outlink Count: 196
Geothermal_heat_pump: Page Rank value: 8.250518007940691E-4| Inlink Count:93| Outlink Count: 134
Green_building: Page Rank value: 8.668729896329853E-4| Inlink Count:105| Outlink Count: 87
Low-carbon_power: Page Rank value: 3.9593303223059645E-4| Inlink Count:49| Outlink Count: 56
Microgeneration: Page Rank value: 0.0011152229105545872| Inlink Count:145| Outlink Count: 110
Passive_solar_building_design: Page Rank value: 5.907779046620533E-4| Inlink Count:77| Outlink Count: 57
Renewable_energy: Page Rank value: 0.005534380082896653| Inlink Count:415| Outlink Count: 367
Anaerobic_digestion: Page Rank value: 7.884070613144403E-4| Inlink Count:81| Outlink Count: 56
Geothermal_electricity: Page Rank value: 5.489687064776254E-4| Inlink Count:72| Outlink Count: 64
Hydroelectricity: Page Rank value: 0.0026307664395200264| Inlink Count:185| Outlink Count: 119
Solar_energy: Page Rank value: 0.0022150474959507717| Inlink Count:161| Outlink Count: 140
Tidal_power: Page Rank value: 0.0016188122179894933| Inlink Count:169| Outlink Count: 60
Wind_power: Page Rank value: 0.002640981367493827| Inlink Count:236| Outlink Count: 211
Sustainable_transport: Page Rank value: 0.0011540482237227783| Inlink Count:169| Outlink Count: 51
Carbon-neutral_fuel: Page Rank value: 9.38357468259052E-4| Inlink Count:97| Outlink Count: 322
Electric_vehicle: Page Rank value: 0.0010666806101570228| Inlink Count:113| Outlink Count: 50
Fossil-fuel_phase-out: Page Rank value: 0.0017947767556436168| Inlink Count:234| Outlink Count: 215
Green_vehicle: Page Rank value: 4.3338933433459544E-4| Inlink Count:49| Outlink Count: 98
Plug-in_hybrid: Page Rank value: 7.875181764693818E-4| Inlink Count:79| Outlink Count: 87
Organizing_principle: Page Rank value: 1.4487900742322885E-4| Inlink Count:5| Outlink Count: 2
Sustainable_development: Page Rank value: 0.002050593677874606| Inlink Count:183| Outlink Count: 175
Sustainability_science: Page Rank value: 8.19584271278784E-4| Inlink Count:108| Outlink Count: 116
Sustainability: Page Rank value: 0.0025202681434731014| Inlink Count:164| Outlink Count: 195
Wind_energy: Page Rank value: 4.111758480036966E-4| Inlink Count:27| Outlink Count: 211
Wave_power: Page Rank value: 0.0014458786348562856| Inlink Count:136| Outlink Count: 44
Geothermal_energy: Page Rank value: 0.0011261407318200122| Inlink Count:94| Outlink Count: 141
Bioenergy: Page Rank value: 5.538159576347596E-4| Inlink Count:52| Outlink Count: 114
Energy_transition: Page Rank value: 1.786937127527691E-4| Inlink Count:14| Outlink Count: 27
100%25_renewable_energy: Page Rank value: 2.452280065351228E-4| Inlink Count:24| Outlink Count: 101
Alternative_energy: Page Rank value: 5.073477268962199E-4| Inlink Count:59| Outlink Count: 171
Low-carbon_economy: Page Rank value: 8.400353633021797E-4| Inlink Count:78| Outlink Count: 131
United_States_Environmental_Protection_Agency: Page Rank value: 0.0018566769704125188| Inlink Count:78| Outlink Count: 20
Greenhouse_gas: Page Rank value: 0.002301802015193836| Inlink Count:158| Outlink Count: 57
Renewable_energy_commercialization: Page Rank value: 0.0010448160019163135| Inlink Count:128| Outlink Count: 278
Energy_security: Page Rank value: 5.677762896871522E-4| Inlink Count:43| Outlink Count: 25
Fossil_fuel: Page Rank value: 0.0024304889500876728| Inlink Count:166| Outlink Count: 83
International_Energy_Agency: Page Rank value: 0.0018193514295703555| Inlink Count:98| Outlink Count: 35
Industrial_revolution: Page Rank value: 3.674215269155154E-4| Inlink Count:19| Outlink Count: 25
Hydropower: Page Rank value: 0.0012706574296196284| Inlink Count:88| Outlink Count: 38
Biomass: Page Rank value: 0.002255254186313974| Inlink Count:222| Outlink Count: 72
Geothermal_power: Page Rank value: 0.0012723971541691971| Inlink Count:127| Outlink Count: 65
Solar_heating: Page Rank value: 3.0604815374060164E-4| Inlink Count:38| Outlink Count: 40
Solar_photovoltaics: Page Rank value: 8.915874186738492E-5| Inlink Count:9| Outlink Count: 49
1973_oil_crisis: Page Rank value: 0.0014165755696450306| Inlink Count:48| Outlink Count: 27
